Ingrediente,Quantita,Unita di misura,Nome Piatto
 Olive nere denocciolate,30,g,Zucca ripiena
 Aglio,2,spicchi,Zucca ripiena
 Olio extravergine d'oliva,40,g,Zucca ripiena
 Timo,4,rametti,Zucca ripiena
 Rosmarino,4,rametti,Zucca ripiena
 Origano fresco,q.b.,n.a,Zucca ripiena
 Sale fino,q.b.,n.a,Zucca ripiena
 Pepe nero,q.b.,n.a,Zucca ripiena
 Funghi orecchioni o ostrica (Pleurotus),400,g,Cotolette di pleurotus
 Uova,2,pezzi,Cotolette di pleurotus
 Sale fino,q.b.,n.a,Cotolette di pleurotus
 Pepe nero,q.b.,n.a,Cotolette di pleurotus
 Farina 00,q.b.,n.a,Cotolette di pleurotus
 Pangrattato,q.b.,n.a,Cotolette di pleurotus
 Asparagi,600,g,Asparagi allo zabaione salato
 Tuorli,4,pezzi,Asparagi allo zabaione salato
 Burro,60,g,Asparagi allo zabaione salato
 Vino bianco,80,ml,Asparagi allo zabaione salato
 Sale fino,q.b.,n.a,Asparagi allo zabaione salato
 Pepe nero,q.b.,n.a,Asparagi allo zabaione salato
 Carciofi,4,pezzi,Ciaudedda
 Fave da pulire,800,g,Ciaudedda
 Patate,580,g,Ciaudedda
 Cipolle rosse,1,pezzi,Ciaudedda
 Pancetta,100,g,Ciaudedda
 Brodo vegetale,500,g,Ciaudedda
 Sale fino,q.b.,n.a,Ciaudedda
 Pepe nero,q.b.,n.a,Ciaudedda
 Carote,600,g,Carote alla senape
 Aceto di vino bianco,150,g,Carote alla senape
 Vino bianco,200,g,Carote alla senape
 Acqua,700,g,Carote alla senape
 Aglio,2,spicchi,Carote alla senape
 Olio extravergine d'oliva,2,cucchiai,Carote alla senape
 Prezzemolo,3,ciuffi,Carote alla senape
 Alloro,4,foglie,Carote alla senape
 Senape,20,g,Carote alla senape
 Sale fino,q.b.,n.a,Carote alla senape
 Zucchero,0.5,Metti dell'ingrediente,Carote alla senape
 Pepe nero,q.b.,n.a,Carote alla senape
 Melanzane ovali nere,600,g,Melanzane e patate alle mandorle
 Patate,600,g,Melanzane e patate alle mandorle
 Mandorle tostate,80,g,Melanzane e patate alle mandorle
 Olio extravergine d'oliva,80,g,Melanzane e patate alle mandorle
 Sale fino,q.b.,n.a,Melanzane e patate alle mandorle
 Pepe nero,q.b.,n.a,Melanzane e patate alle mandorle
 Basilico,q.b.,n.a,Melanzane e patate alle mandorle
 Crauti precotti (2 barattoli),770,g,Crauti alla Tirolese
 Pancetta affumicata,150,g,Crauti alla Tirolese
 Cipolle piccola,1,pezzi,Crauti alla Tirolese
 Olio extravergine d'oliva,2,cucchiai,Crauti alla Tirolese
 Burro,10,g,Crauti alla Tirolese
 Bacche di ginepro,5,pezzi,Crauti alla Tirolese
 Farina 00 rasi,2,cucchiai,Crauti alla Tirolese
 Dadi di carne,1,pezzi,Crauti alla Tirolese
 Sale fino,q.b.,n.a,Crauti alla Tirolese
 Acqua,800,ml,Crauti alla Tirolese
 Radicchio qualiti baby,300,g,Insalata gratinata di radicchio nocciole e scamorza
 Nocciole pelate,80,g,Insalata gratinata di radicchio nocciole e scamorza
 Scamorza affumicata,80,g,Insalata gratinata di radicchio nocciole e scamorza
 Olio extravergine d'oliva,q.b.,n.a,Insalata gratinata di radicchio nocciole e scamorza
 Salvia,q.b.,n.a,Insalata gratinata di radicchio nocciole e scamorza
 Noce moscata,q.b.,n.a,Insalata gratinata di radicchio nocciole e scamorza
 Sale fino,q.b.,n.a,Insalata gratinata di radicchio nocciole e scamorza
 Pepe nero,q.b.,n.a,Insalata gratinata di radicchio nocciole e scamorza
 Carciofi,1,kg,Polpettine di carciofi con cuore filante
 Montasio,65,g,Polpettine di carciofi con cuore filante
 Uova,1,pezzi,Polpettine di carciofi con cuore filante
 Prezzemolo da tritare,12,g,Polpettine di carciofi con cuore filante
 Pane mollica,300,g,Polpettine di carciofi con cuore filante
 Limoni,1,pezzi,Polpettine di carciofi con cuore filante
 Grana Padano DOP da grattugiare,50,g,Polpettine di carciofi con cuore filante
 Aglio,1,spicchio,Polpettine di carciofi con cuore filante
 Sale fino,q.b.,n.a,Polpettine di carciofi con cuore filante
 Pepe nero,q.b.,n.a,Polpettine di carciofi con cuore filante
 Uova,2,pezzi,Polpettine di carciofi con cuore filante
 Pangrattato,100,g,Polpettine di carciofi con cuore filante
 Olio di semi,q.b.,n.a,Polpettine di carciofi con cuore filante
 Zucchine baby,300,g,Insalata primavera con verdure e formaggi
 Taccole,200,g,Insalata primavera con verdure e formaggi
 Fagiolini,200,g,Insalata primavera con verdure e formaggi
 Pomodorini ciliegino,150,g,Insalata primavera con verdure e formaggi
 Carote,130,g,Insalata primavera con verdure e formaggi
 Tilsit,200,g,Insalata primavera con verdure e formaggi
 Grana Padano DOP,100,g,Insalata primavera con verdure e formaggi
 Maggiorana,1,rametto,Insalata primavera con verdure e formaggi
 Timo,1,rametto,Insalata primavera con verdure e formaggi
 Origano,1,rametto,Insalata primavera con verdure e formaggi
 Fiori di zucca,4,pezzi,Insalata primavera con verdure e formaggi
 Acqua gassata,150,g,Insalata primavera con verdure e formaggi
 Tilsit,50,g,Insalata primavera con verdure e formaggi
 Farina 00,50,g,Insalata primavera con verdure e formaggi
 Acciughe sott'olio,4,filetti,Insalata primavera con verdure e formaggi
 Bicarbonato ,0.5,Metti dell'ingrediente,Insalata primavera con verdure e formaggi
 Sale fino,q.b.,n.a,Insalata primavera con verdure e formaggi
 Yogurt bianco naturale,190,g,Insalata primavera con verdure e formaggi
 Senape di Digione,80,g,Insalata primavera con verdure e formaggi
 Miele,30,g,Insalata primavera con verdure e formaggi
 Senape dolce,1,cucchiaio,Insalata primavera con verdure e formaggi
 Succo di limone,q.b.,n.a,Insalata primavera con verdure e formaggi
 Patate grandi,12,pezzi,Patate ripiene di nonna Franca
 Manzo macinato,200,g,Patate ripiene di nonna Franca
 Salsiccia,100,g,Patate ripiene di nonna Franca
 Aglio,1,spicchio,Patate ripiene di nonna Franca
 Pancetta affumicata,50,g,Patate ripiene di nonna Franca
 Pomodorini ciliegino,8,pezzi,Patate ripiene di nonna Franca
 Carote,1,pezzi,Patate ripiene di nonna Franca
 Cipollotto fresco,0.5,Metti dell'ingrediente,Patate ripiene di nonna Franca
 Scorza di limone,0.5,Metti dell'ingrediente,Patate ripiene di nonna Franca
 Brodo vegetale,500,ml,Patate ripiene di nonna Franca
 Vino bianco secco,50,ml,Patate ripiene di nonna Franca
 Concentrato di pomodoro,1,cucchiaio,Patate ripiene di nonna Franca
 Peperoncino verde,1,pezzi,Patate ripiene di nonna Franca
 Prezzemolo,1,ciuffo,Patate ripiene di nonna Franca
 Rosmarino,1,rametto,Patate ripiene di nonna Franca
 Timo,1,rametto,Patate ripiene di nonna Franca
 Maggiorana,1,rametto,Patate ripiene di nonna Franca
 Olio extravergine d'oliva,q.b.,n.a,Patate ripiene di nonna Franca
 Sale fino,q.b.,n.a,Patate ripiene di nonna Franca
 Pepe nero,q.b.,n.a,Patate ripiene di nonna Franca
 Porri,220,g,Porri al prosciutto
 Prosciutto crudo,120,g,Porri al prosciutto
 Panna fresca liquida a temperatura ambiente,200,g,Porri al prosciutto
 Parmigiano Reggiano DOP,30,g,Porri al prosciutto
 Burro,20,g,Porri al prosciutto
 Farina 00,20,g,Porri al prosciutto
 Sale fino,q.b.,n.a,Porri al prosciutto
 Pepe nero,q.b.,n.a,Porri al prosciutto
 Filetto di salmone,800,g,Insalata di spinaci con patate salmone e feta
 Spinaci,400,g,Insalata di spinaci con patate salmone e feta
 Feta,300,g,Insalata di spinaci con patate salmone e feta
 Patate novelle,20,pezzi,Insalata di spinaci con patate salmone e feta
 Limoni succo e scorza,0.5,Metti dell'ingrediente,Insalata di spinaci con patate salmone e feta
 Arance succo e scorza,0.5,Metti dell'ingrediente,Insalata di spinaci con patate salmone e feta
 Olio extravergine d'oliva,q.b.,n.a,Insalata di spinaci con patate salmone e feta
 Sale fino,q.b.,n.a,Insalata di spinaci con patate salmone e feta
 Pepe nero,q.b.,n.a,Insalata di spinaci con patate salmone e feta
 Cavolfiore,1,pezzi,Insalata di broccolicavolfiori e indivia belga
 Broccoli,1,pezzi,Insalata di broccolicavolfiori e indivia belga
 Indivia belga,1,pezzi,Insalata di broccolicavolfiori e indivia belga
 Pinoli,1,cucchiaio,Insalata di broccolicavolfiori e indivia belga
 Uvetta,1,cucchiaio,Insalata di broccolicavolfiori e indivia belga
 Olio extravergine d'oliva,6,cucchiai,Insalata di broccolicavolfiori e indivia belga
 Senape di Digione,0.5,Metti dell'ingrediente,Insalata di broccolicavolfiori e indivia belga
 Noce moscata,q.b.,n.a,Insalata di broccolicavolfiori e indivia belga
 Sale fino,q.b.,n.a,Insalata di broccolicavolfiori e indivia belga
 Pepe nero,q.b.,n.a,Insalata di broccolicavolfiori e indivia belga
 Prezzemolo,3,ciuffi,Insalata di broccolicavolfiori e indivia belga
 Succo di limone,4,cucchiai,Insalata di broccolicavolfiori e indivia belga
 Zucchine,300,g,Verdure al forno facili
 Melanzane,500,g,Verdure al forno facili
 Peperoni,500,g,Verdure al forno facili
 Cipolle rosse,250,g,Verdure al forno facili
 Origano secco,2,cucchiai,Verdure al forno facili
 Aglio,2,spicchi,Verdure al forno facili
 Sale fino,q.b.,n.a,Verdure al forno facili
 Pepe nero,q.b.,n.a,Verdure al forno facili
 Olio extravergine d'oliva,q.b.,n.a,Verdure al forno facili
 Radicchio trevigiano tardivo,700,g,Radicchio al forno
 Lardo di Colonnata a fette sottili,160,g,Radicchio al forno
 Sale fino,q.b.,n.a,Radicchio al forno
 Pepe nero,q.b.,n.a,Radicchio al forno
 Olio extravergine d'oliva,q.b.,n.a,Cavolfiore in padella
 Olive nere denocciolate,80,g,Cavolfiore in padella
 Capperi sotto sale,30,g,Cavolfiore in padella
 Acciughe sott'olio,30,g,Cavolfiore in padella
 Sale fino,q.b.,n.a,Cavolfiore in padella
 Pepe nero,q.b.,n.a,Cavolfiore in padella
 Aglio,1,spicchio,Cavolfiore in padella
 Prezzemolo,q.b.,n.a,Cavolfiore in padella
 Valeriana (songino),100,g,Insalatina con fragole al balsamico
 Rucola,100,g,Insalatina con fragole al balsamico
 Fragole,200,g,Insalatina con fragole al balsamico
 Grana Padano DOP,100,g,Insalatina con fragole al balsamico
 Aceto balsamico,40,g,Insalatina con fragole al balsamico
 Olio extravergine d'oliva,50,g,Insalatina con fragole al balsamico
 Sale fino,q.b.,n.a,Insalatina con fragole al balsamico
 Pepe nero,q.b.,n.a,Insalatina con fragole al balsamico
 Melanzane,400,g,Verdure in padella
 Peperoni rossi,300,g,Verdure in padella
 Peperoni gialli,200,g,Verdure in padella
 Zucchine,200,g,Verdure in padella
 Pomodorini ciliegino,300,g,Verdure in padella
 Cipollotto fresco,100,g,Verdure in padella
 Olio extravergine d'oliva,q.b.,n.a,Verdure in padella
 Sale fino,q.b.,n.a,Verdure in padella
 Pepe nero,q.b.,n.a,Verdure in padella
 Basilico,q.b.,n.a,Verdure in padella
 Carote baby,500,g,Carote speziate
 Alloro,2,foglie,Carote speziate
 Ginepro,3,bacche,Carote speziate
 Pepe nero in grani,10,pezzi,Carote speziate
 Chiodi di garofano,2,pezzi,Carote speziate
 Cardamomo,1,pizzico,Carote speziate
 Cannella in stecche,1,pezzi,Carote speziate
 Olio extravergine d'oliva,q.b.,n.a,Carote speziate
 Sale fino,q.b.,n.a,Carote speziate
 Cannella in polvere,q.b.,n.a,Carote speziate
 Noce moscata (facoltativa),q.b.,n.a,Carote speziate
 Carciofi da pulire,820,g,Parmigiana di carciofi
 Valtellina Casera,180,g,Parmigiana di carciofi
 Parmigiano Reggiano DOP da grattugiare,70,g,Parmigiana di carciofi
 Prezzemolo,1,ciuffo,Parmigiana di carciofi
 Pepe nero,q.b.,n.a,Parmigiana di carciofi
 Farina 00,q.b.,n.a,Parmigiana di carciofi
 Olio di semi,q.b.,n.a,Parmigiana di carciofi
 Burro,q.b.,n.a,Parmigiana di carciofi
 Parmigiano Reggiano DOP un pezzo o in scaglie,80,g,Insalata croccante
 Carote,2,pezzi,Insalata croccante
 Pancarri,4,fette,Insalata croccante
 Prezzemolo tritato,3,cucchiai,Insalata croccante
 Acciughe (alici) filetti,8,pezzi,Insalata croccante
 Aceto di vino bianco,q.b.,n.a,Insalata croccante
 Sale fino,q.b.,n.a,Insalata croccante
 Pepe nero,q.b.,n.a,Insalata croccante
 Pangrattato senza glutine,30,g,Finocchi gratinati in padella
 Olive taggiasche,30,g,Finocchi gratinati in padella
 Scorza d'arancia,1,Tutto l'ingrediente,Finocchi gratinati in padella
 Cerfoglio secco,0.5,Metti dell'ingrediente,Finocchi gratinati in padella
 Origano secco,q.b.,n.a,Finocchi gratinati in padella
 Prezzemolo secco,q.b.,n.a,Finocchi gratinati in padella
 Rosmarino secco,q.b.,n.a,Finocchi gratinati in padella
 Timo secco,q.b.,n.a,Finocchi gratinati in padella
 Acqua,40,g,Finocchi gratinati in padella
 Olio extravergine d'oliva,30,g,Finocchi gratinati in padella
 Sale fino,q.b.,n.a,Finocchi gratinati in padella
 Barba di frate (agretti),500,g,Barba di frate alle acciughe
 Aglio,2,spicchi,Barba di frate alle acciughe
 Acciughe (alici) filetti,6,pezzi,Barba di frate alle acciughe
 Sale fino,q.b.,n.a,Barba di frate alle acciughe
 Olio extravergine d'oliva,5,cucchiai,Barba di frate alle acciughe
 Fave,2,kg,Spadellata di scorze di fave
 Olio extravergine d'oliva,60,g,Spadellata di scorze di fave
 Aglio,1,spicchio,Spadellata di scorze di fave
 Peperoncino fresco,1,g,Spadellata di scorze di fave
 Sale fino,q.b.,n.a,Spadellata di scorze di fave
 Pepe nero,q.b.,n.a,Spadellata di scorze di fave
 Patate dolci (o americane),800,g,Patate dolci al forno
 Rosmarino,1,rametto,Patate dolci al forno
 Aglio,1,spicchio,Patate dolci al forno
 Paprika dolce,0.5,Metti dell'ingrediente,Patate dolci al forno
 Olio extravergine d'oliva,q.b.,n.a,Patate dolci al forno
 Sale fino,q.b.,n.a,Patate dolci al forno
 Pepe nero,q.b.,n.a,Patate dolci al forno
 Pannocchia di mais,530,g,Pannocchia al cartoccio
 Sale fino,q.b.,n.a,Pannocchia al cartoccio
 Pepe nero,q.b.,n.a,Pannocchia al cartoccio
 Sale grosso,q.b.,n.a,Pannocchia al cartoccio
 dall'occhio),250,g,Insalata di fagioli misti e zucca
 Gherigli di noci,50,g,Insalata di fagioli misti e zucca
 Olio extravergine d'oliva,q.b.,n.a,Insalata di fagioli misti e zucca
 Sale fino,q.b.,n.a,Insalata di fagioli misti e zucca
 Pepe nero,q.b.,n.a,Insalata di fagioli misti e zucca
 Alloro,1,foglia,Insalata di fagioli misti e zucca
 Timo,2,rametti,Insalata di fagioli misti e zucca
 Zucca delica da pulire,700,g,Insalata di fagioli misti e zucca
 Scalogno da pulire,80,g,Insalata di fagioli misti e zucca
 Sale fino,q.b.,n.a,Insalata di fagioli misti e zucca
 Pepe nero,q.b.,n.a,Insalata di fagioli misti e zucca
 Rosmarino,1,rametto,Insalata di fagioli misti e zucca
 Spinacini,35,g,Insalata di fagioli misti e zucca
 Succo di limone,0.5,Metti dell'ingrediente,Insalata di fagioli misti e zucca
 Olio extravergine d'oliva,q.b.,n.a,Insalata di fagioli misti e zucca
 Sale fino,q.b.,n.a,Insalata di fagioli misti e zucca
 Pepe nero,q.b.,n.a,Insalata di fagioli misti e zucca
 Patate novelle,800,g,Patatine novelle caramellate
 Burro,50,g,Patatine novelle caramellate
 Zucchero di canna,3,cucchiai,Patatine novelle caramellate
 Succo di limone,1,cucchiaio,Patatine novelle caramellate
 Prezzemolo da tritare,2,cucchiai,Patatine novelle caramellate
 Paprika,q.b.,n.a,Patatine novelle caramellate
 Sale fino,q.b.,n.a,Patatine novelle caramellate
 Scorza di limone,1,pezzi,Patatine novelle caramellate
 Patate,1,kg,Nidi di patate con lenticchie e cotechino
 Burro fuso,60,g,Nidi di patate con lenticchie e cotechino
 Tuorli,3,pezzi,Nidi di patate con lenticchie e cotechino
 Sale fino,q.b.,n.a,Nidi di patate con lenticchie e cotechino
 Noce moscata,q.b.,n.a,Nidi di patate con lenticchie e cotechino
 Grana Padano DOP (da grattugiare),60,g,Nidi di patate con lenticchie e cotechino
 Lenticchie secche,300,g,Nidi di patate con lenticchie e cotechino
 Scalogno medio,1,pezzi,Nidi di patate con lenticchie e cotechino
 Carote media,1,pezzi,Nidi di patate con lenticchie e cotechino
 Sedano gambo,1,pezzi,Nidi di patate con lenticchie e cotechino
 Olio extravergine d'oliva,30,g,Nidi di patate con lenticchie e cotechino
 Rosmarino,2,rametti,Nidi di patate con lenticchie e cotechino
 Alloro,3,foglie,Nidi di patate con lenticchie e cotechino
 Brodo vegetale,500,g,Nidi di patate con lenticchie e cotechino
 Cotechino,300,g,Nidi di patate con lenticchie e cotechino
 Carote media,1,pezzi,Nidi di patate con lenticchie e cotechino
 Sedano gambo,1,pezzi,Nidi di patate con lenticchie e cotechino
 Zucchine,300,g,Insalata con scamorza e verdure grigliate
 Melanzane,450,g,Insalata con scamorza e verdure grigliate
 Peperoni rossi,425,g,Insalata con scamorza e verdure grigliate
 Peperoni gialli,425,pezzi,Insalata con scamorza e verdure grigliate
 Pomodori ramati,200,g,Insalata con scamorza e verdure grigliate
 Scamorza (provola) affumicata,300,g,Insalata con scamorza e verdure grigliate
 Insalata mista,150,g,Insalata con scamorza e verdure grigliate
 Sale fino,q.b.,n.a,Insalata con scamorza e verdure grigliate
 Pepe nero,q.b.,n.a,Insalata con scamorza e verdure grigliate
 Olio extravergine d'oliva,40,g,Insalata con scamorza e verdure grigliate
 Cipolle rosse,500,g,Cipolle gratinate
 Pangrattato,50,g,Cipolle gratinate
 Olive nere,40,g,Cipolle gratinate
 Capperi,15,g,Cipolle gratinate
 Pomodorini ciliegino,200,g,Cipolle gratinate
 Aceto di vino bianco,15,ml,Cipolle gratinate
 Parmigiano Reggiano DOP,30,g,Cipolle gratinate
 Aceto di vino bianco,15,ml,Cipolle gratinate
 Olio extravergine d'oliva,q.b.,n.a,Cipolle gratinate
 Sale fino,q.b.,n.a,Cipolle gratinate
 Pepe nero,q.b.,n.a,Cipolle gratinate
 Prezzemolo,q.b.,n.a,Cipolle gratinate
 Topinambur,1,kg,Flan di topinambur
 Patate,350,g,Flan di topinambur
 Uova medie,3,pezzi,Flan di topinambur
 Aglio,1,spicchio,Flan di topinambur
 Rosmarino,1,rametto,Flan di topinambur
 Acqua,q.b.,n.a,Flan di topinambur
 Sale fino,q.b.,n.a,Flan di topinambur
 Pepe nero,q.b.,n.a,Flan di topinambur
 Erba cipollina,q.b.,n.a,Flan di topinambur
 Olio extravergine d'oliva,q.b.,n.a,Flan di topinambur
 Zucchine,770,g,Chips di zucchine croccanti
 Farina 00,50,g,Chips di zucchine croccanti
 Olio extravergine d'oliva,20,g,Chips di zucchine croccanti
 Sale fino,10,g,Chips di zucchine croccanti
 Origano (fresco),1,rametto,Chips di zucchine croccanti
 Patate,1,kg,Patate in tecia
 Pancetta (tesa),100,g,Patate in tecia
 Cipolle bianche,1,pezzi,Patate in tecia
 Olio extravergine d'oliva,20,g,Patate in tecia
 Sale fino,q.b.,n.a,Patate in tecia
 Pepe nero,q.b.,n.a,Patate in tecia
 Brodo vegetale,200,g,Patate in tecia
 Burro,15,g,Patate in tecia
 Pomodori verdi medi,4,pezzi,Pomodori verdi fritti
 Uova,2,pezzi,Pomodori verdi fritti
 Farina 00,80,g,Pomodori verdi fritti
 Farina di mais fioretto,80,g,Pomodori verdi fritti
 Zucchero,10,g,Pomodori verdi fritti
 Sale fino,q.b.,n.a,Pomodori verdi fritti
 Pepe nero,q.b.,n.a,Pomodori verdi fritti
 Olio di semi di arachide,350,g,Pomodori verdi fritti
 Patate,650,g,Patate in padella
 Aglio,2,spicchi,Patate in padella
 Rosmarino,3,rametti,Patate in padella
 Acqua,50,g,Patate in padella
 Olio extravergine d'oliva,q.b.,n.a,Patate in padella
 Patate,1,kg,Pure di cavolfiore
 Grana Padano DOP da grattugiare,40,g,Pure di cavolfiore
 Sale grosso,0.5,Metti dell'ingrediente,Pure di cavolfiore
 Sale fino,q.b.,n.a,Pure di cavolfiore
 Olio extravergine d'oliva,q.b.,n.a,Pure di cavolfiore
 Noce moscata,q.b.,n.a,Pure di cavolfiore
 Pepe nero,q.b.,n.a,Pure di cavolfiore
 Acqua,q.b.,n.a,Pure di cavolfiore
 Cavolfiore,1,kg,Cavolfiore in pastella
 Farina 00,130,g,Cavolfiore in pastella
 Sale fino,q.b.,n.a,Cavolfiore in pastella
 Acqua gassata fredda,200,g,Cavolfiore in pastella
 Olio di semi di arachide,q.b.,n.a,Cavolfiore in pastella
 Peperoni rossi,2,pezzi,Insalata di sedano e peperoni
 Sedano,2,pezzi,Insalata di sedano e peperoni
 Lattuga iceberg,0.5,Metti dell'ingrediente,Insalata di sedano e peperoni
 Olive verdi denocciolate,12,pezzi,Insalata di sedano e peperoni
 Aglio,1,spicchio,Insalata di sedano e peperoni
 Olio extravergine d'oliva,q.b.,n.a,Insalata di sedano e peperoni
 Pane casereccio,8,fette,Insalata di sedano e peperoni
 Olio extravergine d'oliva,4,cucchiai,Insalata di sedano e peperoni
 Aceto di vino bianco,4,cucchiai,Insalata di sedano e peperoni
 Senape di digione,2,cucchiaini,Insalata di sedano e peperoni
 Miele,0.5,Metti dell'ingrediente,Insalata di sedano e peperoni
 Acqua tiepida,q.b.,n.a,Insalata di sedano e peperoni
 Sale fino,q.b.,n.a,Insalata di sedano e peperoni
 Pepe nero,q.b.,n.a,Insalata di sedano e peperoni
 Patate a pasta gialla,550,g,Pure di patate cremoso
 Panna fresca liquida,200,g,Pure di patate cremoso
 Panna acida,1,cucchiaio,Pure di patate cremoso
 Noce moscata,q.b.,n.a,Pure di patate cremoso
 Sale fino,q.b.,n.a,Pure di patate cremoso
 Olio extravergine d'oliva,q.b.,n.a,Pure di patate cremoso
 Aringa affumicata intera,250,g,Insalata di aringa affumicata
 Patate (circa 4),400,g,Insalata di aringa affumicata
 Mele Granny Smith (circa 1),220,g,Insalata di aringa affumicata
 Cipolle rosse (circa 1),170,g,Insalata di aringa affumicata
 Latte intero,150,ml,Insalata di aringa affumicata
 Yogurt greco,200,ml,Insalata di aringa affumicata
 Erba cipollina,5,fili,Insalata di aringa affumicata
 Succo di limone,65,g,Insalata di aringa affumicata
 Olio extravergine d'oliva,20,g,Insalata di aringa affumicata
 Sale fino,q.b.,n.a,Insalata di aringa affumicata
 Pepe nero,q.b.,n.a,Insalata di aringa affumicata
 Fagiolini,600,g,Fagiolini in umido alla contadina
 Pancetta,100,g,Fagiolini in umido alla contadina
 Aglio,2,spicchi,Fagiolini in umido alla contadina
 Pomodori pelati,800,g,Fagiolini in umido alla contadina
 Prezzemolo,1,ciuffo,Fagiolini in umido alla contadina
 Basilico,1,ciuffo,Fagiolini in umido alla contadina
 Sale fino,q.b.,n.a,Fagiolini in umido alla contadina
 Pepe nero,q.b.,n.a,Fagiolini in umido alla contadina
 Olio extravergine d'oliva,q.b.,n.a,Fagiolini in umido alla contadina
 Pisellini,200,g,Sformato di patate
 Pancetta affumicata a dadini,60,g,Sformato di patate
 Uova,2,pezzi,Sformato di patate
 Erba cipollina tritata,1,cucchiaio,Sformato di patate
 Sale fino,q.b.,n.a,Sformato di patate
 Pepe nero,q.b.,n.a,Sformato di patate
 Parmigiano Reggiano DOP da grattugiare,70,pezzi,Sformato di patate
 Burro,20,g,Sformato di patate
 Latte intero,100,ml,Sformato di patate
 Brodo vegetale,q.b.,n.a,Sformato di patate
 Patate,1,kg,Spicchi di patate al forno con pancetta
 Rosmarino,2,rametti,Spicchi di patate al forno con pancetta
 Sale fino,q.b.,n.a,Spicchi di patate al forno con pancetta
 Pancetta affumicata,100,g,Spicchi di patate al forno con pancetta
 Brodo vegetale,150,ml,Spicchi di patate al forno con pancetta
 Timo,2,rametti,Spicchi di patate al forno con pancetta
 Olio extravergine d'oliva,50,ml,Spicchi di patate al forno con pancetta
 Patate,300,g,Rose di patate e bacon
 Bacon (12 fette),180,g,Rose di patate e bacon
 Pecorino da grattugiare,30,g,Rose di patate e bacon
 Timo,q.b.,n.a,Rose di patate e bacon
 Olio extravergine d'oliva,q.b.,n.a,Rose di patate e bacon
 Sale fino,q.b.,n.a,Rose di patate e bacon
 Pepe nero,q.b.,n.a,Rose di patate e bacon
 Indivia belga,500,g,Indivia belga gratinata
 Pane raffermo mollica,50,g,Indivia belga gratinata
 Parmigiano Reggiano DOP da grattugiare,30,g,Indivia belga gratinata
 Origano secco,0.5,Metti dell'ingrediente,Indivia belga gratinata
 Olio extravergine d'oliva,20,g,Indivia belga gratinata
 Sale fino,q.b.,n.a,Indivia belga gratinata
 Pepe nero,q.b.,n.a,Indivia belga gratinata
 Fave da sgusciare,1,kg,Fave alla menta
 Pancetta affumicata,200,g,Fave alla menta
 Cipolle,0.5,Metti dell'ingrediente,Fave alla menta
 Menta,15,g,Fave alla menta
 Prezzemolo,20,g,Fave alla menta
 Olio extravergine d'oliva,q.b.,n.a,Fave alla menta
 Sale fino,q.b.,n.a,Fave alla menta
 Pepe nero,q.b.,n.a,Fave alla menta
 Brodo vegetale,250,ml,Fave alla menta
 Vino bianco,100,ml,Fave alla menta
 Finocchi,1,kg,Finocchi gratinati alle mandorle
 Provola,150,g,Finocchi gratinati alle mandorle
 Pangrattato,50,g,Finocchi gratinati alle mandorle
 Mandorle in scaglie,20,g,Finocchi gratinati alle mandorle
 Prezzemolo,q.b.,n.a,Finocchi gratinati alle mandorle
 Rosmarino,q.b.,n.a,Finocchi gratinati alle mandorle
 Olio extravergine d'oliva,q.b.,n.a,Finocchi gratinati alle mandorle
 Sale fino,q.b.,n.a,Finocchi gratinati alle mandorle
 Pepe nero,q.b.,n.a,Finocchi gratinati alle mandorle
 Melanzane,380,g,Melanzane al forno con patate
 Patate,350,g,Melanzane al forno con patate
 Scamorza (provola),120,g,Melanzane al forno con patate
 Timo,q.b.,n.a,Melanzane al forno con patate
 Olio extravergine d'oliva,q.b.,n.a,Melanzane al forno con patate
 Sale fino,q.b.,n.a,Melanzane al forno con patate
 Pepe nero,q.b.,n.a,Melanzane al forno con patate
 Cavolo cappuccio,350,g,Insalata di cavolo cappuccio
 Succo di limone,0.5,Metti dell'ingrediente,Insalata di cavolo cappuccio
 Sale fino,20,g,Insalata di cavolo cappuccio
 Zucchero,20,g,Insalata di cavolo cappuccio
 Pepe nero,q.b.,n.a,Insalata di cavolo cappuccio
 Fagioli dall'occhio secchi,200,g,Insalata di cavolo cappuccio
 Parmigiano Reggiano DOP,120,g,Insalata di cavolo cappuccio
 Mandarini,3,pezzi,Insalata di cavolo cappuccio
 Miele millefiori,20,g,Insalata di cavolo cappuccio
 Olio extravergine d'oliva,30,g,Insalata di cavolo cappuccio
 Sale fino,q.b.,n.a,Insalata di cavolo cappuccio
 Patate medio-grandi,8,pezzi,Jacket potatoes
 Pancetta,100,g,Jacket potatoes
 Cheddar,100,g,Jacket potatoes
 Sale fino,35,g,Kimchi
 Daikon,350,g,Kimchi
 Cipollotto fresco,200,g,Kimchi
 Carote,150,g,Kimchi
 Aglio cinese,100,g,Kimchi
 Peperoncino secco da tritare,10,g,Kimchi
 Farina di riso,25,g,Kimchi
 Zucchero di canna,30,g,Kimchi
 Acqua,250,g,Kimchi
 Cipolle bianche,100,g,Kimchi
 Zenzero fresco,50,g,Kimchi
 Aglio,2,spicchi,Kimchi
 Carciofi,4,pezzi,Sformatini di carciofi con salsa al Parmigiano
 Cipolle,1,pezzi,Sformatini di carciofi con salsa al Parmigiano
 Parmigiano Reggiano DOP,30,g,Sformatini di carciofi con salsa al Parmigiano
