Ingrediente,Quantita,Unita_di_misura,Nome_Piatto,,,,
 Aceto di vino bianco,8.0,g,Insalata di patate al verde,,,,
 Pepe nero,-1.0,n.a.,Insalata di patate al verde,,,,
 Origano essiccato,-1.0,n.a.,Insalata di patate al verde,,,,
 Cipolle borettane da pulire,800.0,g,Cipolline all'uvetta,,,,
 Uvetta,50.0,g,Cipolline all'uvetta,,,,
 Aceto di mele,60.0,g,Cipolline all'uvetta,,,,
 Marsala,25.0,g,Cipolline all'uvetta,,,,
 Burro,40.0,g,Cipolline all'uvetta,,,,
 Sale fino,4.0,pizzichi,Cipolline all'uvetta,,,,
 Pepe nero,-1.0,n.a.,Cipolline all'uvetta,,,,
 Acqua,100.0,g,Cipolline all'uvetta,,,,
 Cavoletti di Bruxelles,750.0,g,Cavoletti di Bruxelles gratinati,,,,
 Birra chiara,66.0,g,Cavoletti di Bruxelles gratinati,,,,
 Groviera,300.0,g,Cavoletti di Bruxelles gratinati,,,,
 Cipolle bianche,200.0,g,Cavoletti di Bruxelles gratinati,,,,
 Olio extravergine d'oliva,40.0,g,Cavoletti di Bruxelles gratinati,,,,
 Burro,40.0,g,Cavoletti di Bruxelles gratinati,,,,
 Sale fino,-1.0,n.a.,Cavoletti di Bruxelles gratinati,,,,
 Pepe nero,-1.0,n.a.,Cavoletti di Bruxelles gratinati,,,,
 Erba cipollina,-1.0,n.a.,Cavoletti di Bruxelles gratinati,,,,
 Castagne precotte,150.0,g,Insalata di castagne,,,,
 Insalata red chard,80.0,g,Insalata di castagne,,,,
 Roquefort,80.0,g,Insalata di castagne,,,,
 Pane,25.0,g,Insalata di castagne,,,,
 Olio extravergine d'oliva,2.0,cucchiai,Insalata di castagne,,,,
 Peperoncino secco,1.0,pezzi,Insalata di castagne,,,,
 Senape di Digione,2.0,cucchiai,Insalata di castagne,,,,
 Miele,1.0,cucchiaio,Insalata di castagne,,,,
 Succo di limone,0.5,Met� dell'ingrediente,Insalata di castagne,,,,
 Farina Manitoba,180.0,g,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Farina 00,75.0,g,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Acqua,150.0,ml,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Olio extravergine d'oliva,15.0,g,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Malto,0.5,Met� dell'ingrediente,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Lievito di birra secco,2.0,g,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Sale fino,5.0,g,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Luganega,250.0,g,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Parmigiano Reggiano DOP da grattugiare,60.0,g,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Vino rosso,15.0,ml,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Finocchietto selvatico,5.0,g,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Aglio,1.0,spicchio,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Pepe nero,-1.0,n.a.,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Funghi champignon,400.0,g,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Aglio,1.0,spicchio,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Grana Padano DOP da grattugiare,20.0,g,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Pangrattato,4.0,cucchiai,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Prezzemolo,1.0,ciuffo,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Origano,-1.0,n.a.,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Erba cipollina,-1.0,n.a.,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Sale fino,-1.0,n.a.,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Pepe nero,-1.0,n.a.,Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,,,,
 Cime di rapa da pulire,500.0,g,Cime di rapa con pomodori secchi e acciughe,,,,
 Pomodori secchi,50.0,g,Cime di rapa con pomodori secchi e acciughe,,,,
 Acciughe sott'olio,30.0,g,Cime di rapa con pomodori secchi e acciughe,,,,
 Aglio,1.0,spicchio,Cime di rapa con pomodori secchi e acciughe,,,,
 Sale fino,-1.0,n.a.,Cime di rapa con pomodori secchi e acciughe,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Cime di rapa con pomodori secchi e acciughe,,,,
 Cavolfiore (da pulire),900.0,g,Sformato di cavolfiori e radicchio,,,,
 Radicchio,250.0,g,Sformato di cavolfiori e radicchio,,,,
 Cipolle bianche,100.0,g,Sformato di cavolfiori e radicchio,,,,
 Olio extravergine d'oliva,3.0,cucchiai,Sformato di cavolfiori e radicchio,,,,
 Sale fino,-1.0,n.a.,Sformato di cavolfiori e radicchio,,,,
 Pepe nero,-1.0,n.a.,Sformato di cavolfiori e radicchio,,,,
 Grana Padano DOP,4.0,cucchiai,Sformato di cavolfiori e radicchio,,,,
 Pangrattato,2.0,cucchiai,Sformato di cavolfiori e radicchio,,,,
 Burro,-1.0,n.a.,Sformato di cavolfiori e radicchio,,,,
 Pistacchi non salati sgusciati,60.0,g,Sformato di cavolfiori e radicchio,,,,
 Cardi,800.0,g,Sformatini di cardi,,,,
 Prosciutto cotto a dadini,30.0,g,Sformatini di cardi,,,,
 Provola,30.0,g,Sformatini di cardi,,,,
 Parmigiano Reggiano DOP da grattugiare,100.0,g,Sformatini di cardi,,,,
 Cipolle bianche,1.0,pezzi,Sformatini di cardi,,,,
 Aglio,1.0,spicchio,Sformatini di cardi,,,,
 Carote,1.0,pezzi,Sformatini di cardi,,,,
 Uova,4.0,pezzi,Sformatini di cardi,,,,
 Limoni,1.0,pezzi,Sformatini di cardi,,,,
 Sale fino,-1.0,n.a.,Sformatini di cardi,,,,
 Pepe nero,-1.0,n.a.,Sformatini di cardi,,,,
 Brodo vegetale,-1.0,n.a.,Sformatini di cardi,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Sformatini di cardi,,,,
 Burro,-1.0,n.a.,Sformatini di cardi,,,,
 Radicchio rosso,800.0,pezzi,Radicchio alla piastra con pancetta e pepe rosa,,,,
 Pancetta affumicata,200.0,pezzi,Radicchio alla piastra con pancetta e pepe rosa,,,,
 Pepe rosa in salamoia,-1.0,n.a.,Radicchio alla piastra con pancetta e pepe rosa,,,,
 Paprika dolce,1.0,cucchiaio,Radicchio alla piastra con pancetta e pepe rosa,,,,
 Olio extravergine d'oliva,8.0,cucchiai,Radicchio alla piastra con pancetta e pepe rosa,,,,
 Sale fino,-1.0,n.a.,Radicchio alla piastra con pancetta e pepe rosa,,,,
 Bacon a fette,150.0,g,Pasticcio di zucca,,,,
 Emmentaler a fette,150.0,g,Pasticcio di zucca,,,,
 Panna fresca liquida,250.0,g,Pasticcio di zucca,,,,
 Latte intero,200.0,g,Pasticcio di zucca,,,,
 Prezzemolo riccio,-1.0,n.a.,Pasticcio di zucca,,,,
 Sale fino,-1.0,n.a.,Pasticcio di zucca,,,,
 Pepe nero,-1.0,n.a.,Pasticcio di zucca,,,,
 Burro,-1.0,n.a.,Pasticcio di zucca,,,,
 Mele Red Delicious,300.0,g,Insalata con mele e cavoli,,,,
 Barbabietole crude,200.0,g,Insalata con mele e cavoli,,,,
 Pak choi (gi� pulito),170.0,g,Insalata con mele e cavoli,,,,
 Cavolo riccio (Kale) (gi� pulito),120.0,g,Insalata con mele e cavoli,,,,
 Pane,100.0,g,Insalata con mele e cavoli,,,,
 Mandorle,100.0,g,Insalata con mele e cavoli,,,,
 Quartirolo Lombardo,100.0,g,Insalata con mele e cavoli,,,,
 Timo,-1.0,n.a.,Insalata con mele e cavoli,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Insalata con mele e cavoli,,,,
 Pepe nero,-1.0,n.a.,Insalata con mele e cavoli,,,,
 Succo d'arancia,1.0,Tutto l'ingrediente,Insalata con mele e cavoli,,,,
 Olio extravergine d'oliva,40.0,g,Insalata con mele e cavoli,,,,
 Aceto di lamponi,30.0,g,Insalata con mele e cavoli,,,,
 Sale fino,-1.0,n.a.,Insalata con mele e cavoli,,,,
 Rucola,300.0,g,Insalata di cachi. rucola e finocchi,,,,
 Cachi mela,1.0,pezzi,Insalata di cachi. rucola e finocchi,,,,
 Finocchi,1.0,pezzi,Insalata di cachi. rucola e finocchi,,,,
 Succo di limone,70.0,ml,Insalata di cachi. rucola e finocchi,,,,
 Succo d'arancia,125.0,ml,Insalata di cachi. rucola e finocchi,,,,
 Miele,1.0,cucchiaio,Insalata di cachi. rucola e finocchi,,,,
 Sale fino,-1.0,n.a.,Insalata di cachi. rucola e finocchi,,,,
 Pepe nero,-1.0,n.a.,Insalata di cachi. rucola e finocchi,,,,
 Semi di sesamo,-1.0,n.a.,Insalata di cachi. rucola e finocchi,,,,
 Patate,500.0,g,Stelline di patate,,,,
 Uova medie,2.0,pezzi,Stelline di patate,,,,
 Caciocavallo da grattugiare,30.0,g,Stelline di patate,,,,
 Fecola di patate,30.0,g,Stelline di patate,,,,
 Alloro,3.0,foglie,Stelline di patate,,,,
 Noce moscata,-1.0,n.a.,Stelline di patate,,,,
 Pepe nero,-1.0,n.a.,Stelline di patate,,,,
 Sale grosso,-1.0,n.a.,Stelline di patate,,,,
 Sale fino,-1.0,n.a.,Stelline di patate,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Stelline di patate,,,,
 Olio di semi di arachide,1.0,l,Stelline di patate,,,,
 Zucca delica,550.0,g,Grigliata di zucca e porcini,,,,
 Funghi porcini (250 g da puliti),300.0,g,Grigliata di zucca e porcini,,,,
 Rosmarino,2.0,rametti,Grigliata di zucca e porcini,,,,
 Timo,4.0,rametti,Grigliata di zucca e porcini,,,,
 Olio extravergine d'oliva,50.0,g,Grigliata di zucca e porcini,,,,
 Sale fino,-1.0,n.a.,Grigliata di zucca e porcini,,,,
 Pepe nero,-1.0,n.a.,Grigliata di zucca e porcini,,,,
 Fontina,150.0,g,Grigliata di zucca e porcini,,,,
 Panna fresca liquida,125.0,g,Grigliata di zucca e porcini,,,,
 Noce moscata,1.0,pizzico,Grigliata di zucca e porcini,,,,
 Patate medio-grandi,8.0,pezzi,Patate arrosto con mele. arance e Grana Padano,,,,
 Cavolo rosso,180.0,g,Patate arrosto con mele. arance e Grana Padano,,,,
 Mele (rossa e gialla),120.0,g,Patate arrosto con mele. arance e Grana Padano,,,,
 Arance,1.0,pezzi,Patate arrosto con mele. arance e Grana Padano,,,,
 Pepe di Sichuan,-1.0,n.a.,Patate arrosto con mele. arance e Grana Padano,,,,
 Sale fino,-1.0,n.a.,Patate arrosto con mele. arance e Grana Padano,,,,
 Rosmarino,-1.0,n.a.,Patate arrosto con mele. arance e Grana Padano,,,,
 Origano fresco,-1.0,n.a.,Patate arrosto con mele. arance e Grana Padano,,,,
 Grana Padano DOP (Riserva oltre 20 mesi) grattugiato,20.0,g,Patate arrosto con mele. arance e Grana Padano,,,,
 Grana Padano DOP (Riserva oltre 20 mesi) in scaglie,50.0,g,Patate arrosto con mele. arance e Grana Padano,,,,
 Funghi orecchioni o ostrica (Pleurotus),400.0,g,Funghi gratinati al forno,,,,
 Funghi chiodini,100.0,g,Funghi gratinati al forno,,,,
 Pane raffermo,100.0,g,Funghi gratinati al forno,,,,
 Scorza di limone,0.5,Met� dell'ingrediente,Funghi gratinati al forno,,,,
 Olio extravergine d'oliva,30.0,g,Funghi gratinati al forno,,,,
 Prezzemolo,-1.0,n.a.,Funghi gratinati al forno,,,,
 Aglio,1.0,spicchio,Funghi gratinati al forno,,,,
 Sale fino,8.0,g,Funghi gratinati al forno,,,,
 Limoni,4.0,fette,Funghi gratinati al forno,,,,
 Spinaci,1.0,kg,Spinaci in padella,,,,
 Olio extravergine d'oliva,50.0,g,Spinaci in padella,,,,
 Aglio,2.0,spicchi,Spinaci in padella,,,,
 Sale fino,-1.0,n.a.,Spinaci in padella,,,,
 Carciofi (circa 600 g da pulire),6.0,pezzi,Carciofi affogati alla napoletana,,,,
 Olive nere di Gaeta,100.0,g,Carciofi affogati alla napoletana,,,,
 Capperi sotto sale,15.0,g,Carciofi affogati alla napoletana,,,,
 Acqua,100.0,g,Carciofi affogati alla napoletana,,,,
 Peperoncino fresco,1.0,pezzi,Carciofi affogati alla napoletana,,,,
 Aglio,1.0,spicchio,Carciofi affogati alla napoletana,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Carciofi affogati alla napoletana,,,,
 Prezzemolo,-1.0,n.a.,Carciofi affogati alla napoletana,,,,
 Sale fino,-1.0,n.a.,Carciofi affogati alla napoletana,,,,
 Mele Red Delicious,250.0,g,Insalata di mele e spinacini,,,,
 Spinacini,100.0,g,Insalata di mele e spinacini,,,,
 Mandorle pelate,60.0,g,Insalata di mele e spinacini,,,,
 Primosale,150.0,g,Insalata di mele e spinacini,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Insalata di mele e spinacini,,,,
 Sale fino,-1.0,n.a.,Insalata di mele e spinacini,,,,
 Miele millefiori,-1.0,n.a.,Insalata di mele e spinacini,,,,
 Cavoletti di Bruxelles,650.0,g,Cavoletti di Bruxelles brasati alla birra,,,,
 Birra chiara,130.0,ml,Cavoletti di Bruxelles brasati alla birra,,,,
 Scalogno,1.0,pezzi,Cavoletti di Bruxelles brasati alla birra,,,,
 Burro,50.0,g,Cavoletti di Bruxelles brasati alla birra,,,,
 Zucchero,0.5,Met� dell'ingrediente,Cavoletti di Bruxelles brasati alla birra,,,,
 Alloro,1.0,foglia,Cavoletti di Bruxelles brasati alla birra,,,,
 Sale fino,-1.0,n.a.,Cavoletti di Bruxelles brasati alla birra,,,,
 Pepe nero,-1.0,n.a.,Cavoletti di Bruxelles brasati alla birra,,,,
 Zucca (gi� pulita),700.0,g,Pur� di zucca,,,,
 Patate farinose,400.0,g,Pur� di zucca,,,,
 Latte intero,150.0,g,Pur� di zucca,,,,
 Cannella in polvere,0.5,Met� dell'ingrediente,Pur� di zucca,,,,
 Olio extravergine d'oliva,15.0,g,Pur� di zucca,,,,
 Sale fino,-1.0,n.a.,Pur� di zucca,,,,
 Pepe nero,-1.0,n.a.,Pur� di zucca,,,,
 Carote baby,600.0,g,Carotine al miele,,,,
 Miele millefiori,2.0,cucchiaini,Carotine al miele,,,,
 Aceto di vino bianco,1.0,cucchiaio,Carotine al miele,,,,
 Olio extravergine d'oliva,3.0,cucchiai,Carotine al miele,,,,
 Mandorle in scaglie,20.0,g,Carotine al miele,,,,
 Sale fino,-1.0,n.a.,Carotine al miele,,,,
 Pepe nero,-1.0,n.a.,Carotine al miele,,,,
 Verza (5 foglie),300.0,g,Involtini di cavolo alla zucca,,,,
 Zucca mantovana,700.0,g,Involtini di cavolo alla zucca,,,,
 Speck in una fetta unica,150.0,g,Involtini di cavolo alla zucca,,,,
 Grana Padano DOP,30.0,g,Involtini di cavolo alla zucca,,,,
 Olio extravergine d'oliva,10.0,g,Involtini di cavolo alla zucca,,,,
 Rosmarino,-1.0,n.a.,Involtini di cavolo alla zucca,,,,
 Sale fino,-1.0,n.a.,Involtini di cavolo alla zucca,,,,
 Pepe nero,-1.0,n.a.,Involtini di cavolo alla zucca,,,,
 Burro,-1.0,n.a.,Involtini di cavolo alla zucca,,,,
 Zucca butternut rugosa,1400.0,g,Zucca in padella con cipolle e olive,,,,
 Cipolle rosse di Tropea,400.0,g,Zucca in padella con cipolle e olive,,,,
 Olive taggiasche (gi� sgocciolate),70.0,g,Zucca in padella con cipolle e olive,,,,
 Menta,-1.0,n.a.,Zucca in padella con cipolle e olive,,,,
 Acqua calda,110.0,g,Zucca in padella con cipolle e olive,,,,
 Sale fino,-1.0,n.a.,Zucca in padella con cipolle e olive,,,,
 Pepe misto in grani,-1.0,n.a.,Zucca in padella con cipolle e olive,,,,
 Aglio,2.0,spicchi,Zucca in padella con cipolle e olive,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Zucca in padella con cipolle e olive,,,,
 Zucca,1.0,kg,Zucca gratinata con scaglie di ricotta affumicata,,,,
 Olio extravergine d'oliva,60.0,g,Zucca gratinata con scaglie di ricotta affumicata,,,,
 Sale fino,1.0,pizzico,Zucca gratinata con scaglie di ricotta affumicata,,,,
 Pepe nero,1.0,pizzico,Zucca gratinata con scaglie di ricotta affumicata,,,,
 Rosmarino,6.0,g,Zucca gratinata con scaglie di ricotta affumicata,,,,
 Ricotta affumicata,50.0,g,Zucca gratinata con scaglie di ricotta affumicata,,,,
 Songino,80.0,g,Insalata di cachi e melagrana,,,,
 Melagrana,260.0,g,Insalata di cachi e melagrana,,,,
 Cachi (vaeriet� caco mela),250.0,g,Insalata di cachi e melagrana,,,,
 Pecorino semi stagionato,40.0,g,Insalata di cachi e melagrana,,,,
 Vene cress,15.0,g,Insalata di cachi e melagrana,,,,
 Senape di Digione,30.0,g,Insalata di cachi e melagrana,,,,
 Olio extravergine d'oliva,10.0,g,Insalata di cachi e melagrana,,,,
 Patate novelle,400.0,g,Patate al microonde,,,,
 Acqua,60.0,g,Patate al microonde,,,,
 Rosmarino,1.0,rametto,Patate al microonde,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Patate al microonde,,,,
 Sale fino,-1.0,n.a.,Patate al microonde,,,,
 Patate medie,4.0,pezzi,Patate apparecchiate,,,,
 Cipolle bianche grande,1.0,pezzi,Patate apparecchiate,,,,
 Capperi sotto sale,15.0,g,Patate apparecchiate,,,,
 Olive verdi,160.0,g,Patate apparecchiate,,,,
 Olio extravergine d'oliva,2.0,cucchiai,Patate apparecchiate,,,,
 Aceto di vino bianco,50.0,ml,Patate apparecchiate,,,,
 Zucchero,2.0,cucchiaini,Patate apparecchiate,,,,
 Sale fino,-1.0,n.a.,Patate apparecchiate,,,,
 Cipolle borettane gi� sbucciate,700.0,g,Cipolline al forno,,,,
 Aceto di mele,70.0,g,Cipolline al forno,,,,
 Zucchero di canna,20.0,g,Cipolline al forno,,,,
 Origano,1.0,pizzico,Cipolline al forno,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Cipolline al forno,,,,
 Sale fino,-1.0,n.a.,Cipolline al forno,,,,
 Sedano rapa,500.0,g,Pur� di sedano rapa alla panna,,,,
 Burro,20.0,g,Pur� di sedano rapa alla panna,,,,
 Pepe bianco,-1.0,n.a.,Pur� di sedano rapa alla panna,,,,
 Panna fresca liquida,250.0,g,Pur� di sedano rapa alla panna,,,,
 Sale fino,-1.0,n.a.,Pur� di sedano rapa alla panna,,,,
 Grana Padano DOP,40.0,g,Pur� di sedano rapa alla panna,,,,
 Dischetti di pasta,16.0,pezzi,Coppette con insalata di rucola. barbabietole. noci e ravanelli,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Coppette con insalata di rucola. barbabietole. noci e ravanelli,,,,
 Tuorli,1.0,pezzi,Coppette con insalata di rucola. barbabietole. noci e ravanelli,,,,
 Rucola,100.0,g,Coppette con insalata di rucola. barbabietole. noci e ravanelli,,,,
 Barbabietole,70.0,g,Coppette con insalata di rucola. barbabietole. noci e ravanelli,,,,
 Noci,50.0,g,Coppette con insalata di rucola. barbabietole. noci e ravanelli,,,,
 Ravanelli,100.0,g,Coppette con insalata di rucola. barbabietole. noci e ravanelli,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Coppette con insalata di rucola. barbabietole. noci e ravanelli,,,,
 Aceto balsamico,-1.0,n.a.,Coppette con insalata di rucola. barbabietole. noci e ravanelli,,,,
 Sale fino,-1.0,n.a.,Coppette con insalata di rucola. barbabietole. noci e ravanelli,,,,
 Pepe nero,-1.0,n.a.,Coppette con insalata di rucola. barbabietole. noci e ravanelli,,,,
 Carciofi (circa 520 g da pulire),4.0,pezzi,Carciofi pastellati e fritti,,,,
 Olio di semi per friggere,-1.0,n.a.,Carciofi pastellati e fritti,,,,
 Acqua,-1.0,n.a.,Carciofi pastellati e fritti,,,,
 Limoni,1.0,pezzi,Carciofi pastellati e fritti,,,,
 Farina 00,250.0,g,Carciofi pastellati e fritti,,,,
 Birra rossa,330.0,g,Carciofi pastellati e fritti,,,,
 Lievito istantaneo per preparazioni salate,5.0,g,Carciofi pastellati e fritti,,,,
 Tuorli,1.0,pezzi,Carciofi pastellati e fritti,,,,
 Sale fino,0.5,Met� dell'ingrediente,Carciofi pastellati e fritti,,,,
 Ketchup,80.0,g,Carciofi pastellati e fritti,,,,
 Tabasco,-1.0,n.a.,Carciofi pastellati e fritti,,,,
 Erba cipollina,5.0,fili,Carciofi pastellati e fritti,,,,
 Cavoletti di Bruxelles,400.0,g,Cavoletti di Bruxelles con gorgonzola e noci,,,,
 Gorgonzola,200.0,g,Cavoletti di Bruxelles con gorgonzola e noci,,,,
 Gherigli di noci,8.0,pezzi,Cavoletti di Bruxelles con gorgonzola e noci,,,,
 Burro,30.0,g,Cavoletti di Bruxelles con gorgonzola e noci,,,,
 Pangrattato,20.0,g,Cavoletti di Bruxelles con gorgonzola e noci,,,,
 Patate novelle,700.0,g,Patatine novelle al vino rosso,,,,
 Scalogno,4.0,pezzi,Patatine novelle al vino rosso,,,,
 Vino rosso circa,200.0,ml,Patatine novelle al vino rosso,,,,
 Pepe nero,-1.0,n.a.,Patatine novelle al vino rosso,,,,
 Salvia,6.0,foglie,Patatine novelle al vino rosso,,,,
 Burro,60.0,g,Patatine novelle al vino rosso,,,,
 Sale fino,-1.0,n.a.,Patatine novelle al vino rosso,,,,
 Barbabietole precotte,400.0,g,Barbabietole agrodolci al finocchietto,,,,
 Zucchero,50.0,g,Barbabietole agrodolci al finocchietto,,,,
 Semi di finocchio selvatico,0.5,Met� dell'ingrediente,Barbabietole agrodolci al finocchietto,,,,
 Aceto di vino bianco,1.0,cucchiaio,Barbabietole agrodolci al finocchietto,,,,
 Vino rosso,180.0,ml,Barbabietole agrodolci al finocchietto,,,,
 Funghi champignon,500.0,g,Funghi e radicchio in padella,,,,
 Radicchio (1 medio),300.0,g,Funghi e radicchio in padella,,,,
 Olio extravergine d'oliva,3.0,cucchiai,Funghi e radicchio in padella,,,,
 Aglio,1.0,spicchio,Funghi e radicchio in padella,,,,
 Sale fino,-1.0,n.a.,Funghi e radicchio in padella,,,,
 Pepe nero,-1.0,n.a.,Funghi e radicchio in padella,,,,
 Vino rosso,100.0,ml,Funghi e radicchio in padella,,,,
 Cardi,1.0,kg,Cardi in umido,,,,
 Cipollotto fresco,3.0,pezzi,Cardi in umido,,,,
 Timo,4.0,rametti,Cardi in umido,,,,
 Olio extravergine d'oliva,3.0,cucchiai,Cardi in umido,,,,
 Pancetta affumicata,140.0,g,Cardi in umido,,,,
 Vino bianco secco,1.0,bicchiere,Cardi in umido,,,,
 Cannella in polvere,1.0,pizzico,Cardi in umido,,,,
 Parmigiano Reggiano DOP,40.0,g,Cardi in umido,,,,
 Limoni,1.0,pezzi,Cardi in umido,,,,
 Sale fino,-1.0,n.a.,Cardi in umido,,,,
 Pepe nero,-1.0,n.a.,Cardi in umido,,,,
 Passata di pomodoro,4.0,cucchiai,Cardi in umido,,,,
 Carote,300.0,g,Verdure stufate alle spezie,,,,
 Patate,300.0,g,Verdure stufate alle spezie,,,,
 Zucchine,300.0,g,Verdure stufate alle spezie,,,,
 Zucca,300.0,g,Verdure stufate alle spezie,,,,
 Porri,1.0,pezzi,Verdure stufate alle spezie,,,,
 Semi di senape ,0.5,Met� dell'ingrediente,Verdure stufate alle spezie,,,,
 Semi di cumino,0.5,Met� dell'ingrediente,Verdure stufate alle spezie,,,,
 Semi di sesamo,2.0,cucchiai,Verdure stufate alle spezie,,,,
 Olio extravergine d'oliva,3.0,cucchiai,Verdure stufate alle spezie,,,,
 Zucchero,0.5,Met� dell'ingrediente,Verdure stufate alle spezie,,,,
 Sale fino,2.0,pizzichi,Verdure stufate alle spezie,,,,
 Aceto di vino bianco,50.0,g,Verdure stufate alle spezie,,,,
 Carciofi,8.0,pezzi,Carciofi fritti alla senape,,,,
 Uova medie,2.0,pezzi,Carciofi fritti alla senape,,,,
 Farina 00,50.0,g,Carciofi fritti alla senape,,,,
 Senape in polvere,0.5,Met� dell'ingrediente,Carciofi fritti alla senape,,,,
 Lievito istantaneo per preparazioni salate,0.5,Met� dell'ingrediente,Carciofi fritti alla senape,,,,
 Sale fino,-1.0,n.a.,Carciofi fritti alla senape,,,,
 Olio di semi di arachide,-1.0,n.a.,Carciofi fritti alla senape,,,,
 Broccoli,500.0,g,Broccoli in padella,,,,
 Acqua,300.0,g,Broccoli in padella,,,,
 Olio extravergine d'oliva,25.0,g,Broccoli in padella,,,,
 Aglio,1.0,pezzi,Broccoli in padella,,,,
 Peperoncino fresco,1.0,pezzi,Broccoli in padella,,,,
 Sale fino,-1.0,n.a.,Broccoli in padella,,,,
 Fagioli cannellini secchi,300.0,g,Pur� di fagioli con speck croccante,,,,
 Speck a fette,100.0,g,Pur� di fagioli con speck croccante,,,,
 Aglio,1.0,spicchio,Pur� di fagioli con speck croccante,,,,
 Sale fino,-1.0,n.a.,Pur� di fagioli con speck croccante,,,,
 Pepe nero,-1.0,n.a.,Pur� di fagioli con speck croccante,,,,
 Olio extravergine d'oliva,3.0,cucchiai,Pur� di fagioli con speck croccante,,,,
 Aneto,-1.0,n.a.,Pur� di fagioli con speck croccante,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Pur� di fagioli con speck croccante,,,,
 Patate,600.0,g,Stoemp belga alle carote,,,,
 Carote,300.0,g,Stoemp belga alle carote,,,,
 Pancetta affumicata a cubetti,100.0,g,Stoemp belga alle carote,,,,
 Burro,50.0,g,Stoemp belga alle carote,,,,
 Panna fresca liquida,50.0,ml,Stoemp belga alle carote,,,,
 Sale fino,-1.0,n.a.,Stoemp belga alle carote,,,,
 Pepe nero,-1.0,n.a.,Stoemp belga alle carote,,,,
 Noce moscata,-1.0,n.a.,Stoemp belga alle carote,,,,
 Carote,650.0,g,Carote arrosto con pistacchi,,,,
 Pistacchi non salati,80.0,g,Carote arrosto con pistacchi,,,,
 Aglio,3.0,spicchi,Carote arrosto con pistacchi,,,,
 Rosmarino,3.0,rametti,Carote arrosto con pistacchi,,,,
 Sale fino,-1.0,n.a.,Carote arrosto con pistacchi,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Carote arrosto con pistacchi,,,,
 Patate,500.0,g,Rosti di zucchine e patate con fonduta al Grana Padano,,,,
 Zucchine,270.0,g,Rosti di zucchine e patate con fonduta al Grana Padano,,,,
 Grana Padano DOP (Riserva oltre 20 mesi),100.0,g,Rosti di zucchine e patate con fonduta al Grana Padano,,,,
 Sale fino,-1.0,n.a.,Rosti di zucchine e patate con fonduta al Grana Padano,,,,
 Pepe nero,-1.0,n.a.,Rosti di zucchine e patate con fonduta al Grana Padano,,,,
 Rosmarino,-1.0,n.a.,Rosti di zucchine e patate con fonduta al Grana Padano,,,,
 Timo,-1.0,n.a.,Rosti di zucchine e patate con fonduta al Grana Padano,,,,
 Origano fresco,-1.0,n.a.,Rosti di zucchine e patate con fonduta al Grana Padano,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Rosti di zucchine e patate con fonduta al Grana Padano,,,,
 Grana Padano DOP (Riserva oltre 20 mesi),100.0,g,Rosti di zucchine e patate con fonduta al Grana Padano,,,,
